origin,destination,weight,PROVINCIA ORIGEN,PROVINCIA DESTINO
22,48,0.004498759957191288,Huesca,Bizkaia
22,20,0.011067462173887967,Huesca,Gipuzkoa
22,03,0.003165794043949424,Huesca,Alicante/Alacant
22,14,8.331036957761642e-05,Huesca,Córdoba
22,11,0.00017943771909025076,Huesca,Cádiz
22,05,6.408489967508956e-05,Huesca,Ávila
22,33,0.0008266952058086554,Huesca,Asturias
22,34,6.408489967508956e-06,Huesca,Palencia
22,32,7.690187961010748e-05,Huesca,Ourense
07,36,0.0006728914465884405,Balears,Pontevedra
07,18,0.0028581865255089944,Balears,Granada
07,17,0.0012176130938267018,Balears,Girona
07,41,0.003774600590862775,Balears,Sevilla
07,16,0.0004806367475631717,Balears,Cuenca
07,11,0.0011983876239241749,Balears,Cádiz
07,29,0.001922546990252687,Balears,Málaga
07,39,0.00033324147831046574,Balears,Cantabria
07,21,0.0003268329883429568,Balears,Huelva
07,01,0.0001730292291227418,Balears,Araba/Álava
07,24,0.00019225469902526868,Balears,León
07,10,9.612734951263434e-05,Balears,Cáceres
07,40,5.76764097075806e-05,Balears,Segovia
07,19,6.408489967508956e-05,Balears,Guadalajara
07,22,8.331036957761642e-05,Balears,Huesca
07,26,1.922546990252687e-05,Balears,La Rioja
07,45,0.0001025358394801433,Balears,Toledo
07,49,0.00013457828931768808,Balears,Zamora
07,08,0.020712239574988946,Balears,Barcelona
07,46,0.0072415936632851206,Balears,Valencia/València
07,50,0.0008523291656786912,Balears,Zaragoza
07,15,0.001332965913241863,Balears,A Coruña
07,03,0.003781009080830284,Balears,Alicante/Alacant
07,25,0.0009484565151913256,Balears,Lleida
07,27,0.0001730292291227418,Balears,Lugo
07,30,0.0011983876239241749,Balears,Murcia
07,14,0.0006023980569458419,Balears,Córdoba
07,12,0.0005254961773357345,Balears,Castellón/Castelló
07,09,1.2816979935017914e-05,Balears,Burgos
07,05,3.204244983754478e-05,Balears,Ávila
07,23,0.0007049338964259852,Balears,Jaén
07,47,0.0001730292291227418,Balears,Valladolid
07,42,4.485942977256269e-05,Balears,Soria
07,28,0.01424607319777241,Balears,Madrid
07,43,0.001025358394801433,Balears,Tarragona
07,20,0.0005639471171407881,Balears,Gipuzkoa
07,33,0.000871554635581218,Balears,Asturias
07,02,0.0003204244983754478,Balears,Albacete
07,35,0.0012047961138916838,Balears,Las Palmas
07,04,0.00024352261876534032,Balears,Almería
07,06,0.0005447216472382613,Balears,Badajoz
07,48,0.0010958517844440316,Balears,Bizkaia
07,31,0.0002178886588953045,Balears,Navarra
07,13,0.000147395269252706,Balears,Ciudad Real
07,52,1.2816979935017914e-05,Balears,Melilla
07,37,0.0001730292291227418,Balears,Salamanca
07,32,3.845093980505373e-05,Balears,Ourense
07,38,0.000147395269252706,Balears,Santa Cruz de Tenerife
07,44,0.0001153528194151612,Balears,Teruel
23,18,0.11185378389290132,Jaén,Granada
23,45,0.0034285421326172914,Jaén,Toledo
23,17,0.0014226847727869883,Jaén,Girona
23,11,0.004639746736476484,Jaén,Cádiz
23,12,0.0023711412879783137,Jaén,Castellón/Castelló
23,46,0.010952109354472807,Jaén,Valencia/València
23,13,0.01705299180354133,Jaén,Ciudad Real
23,08,0.006023980569458419,Jaén,Barcelona
23,47,0.0006216235268483688,Jaén,Valladolid
23,10,0.0004742282575956627,Jaén,Cáceres
23,20,0.00046141127766064486,Jaén,Gipuzkoa
23,39,0.000435777317790609,Jaén,Cantabria
23,07,0.0006792999365559494,Jaén,Balears
23,51,0.00015380375922021495,Jaén,Ceuta
23,15,0.000147395269252706,Jaén,A Coruña
23,49,0.00031401600840793887,Jaén,Zamora
23,14,0.07918330203854065,Jaén,Córdoba
23,28,0.043667450638606026,Jaén,Madrid
23,29,0.03254872054497799,Jaén,Málaga
23,04,0.015457277801631602,Jaén,Almería
23,38,0.0003652839281480105,Jaén,Santa Cruz de Tenerife
23,37,0.00012816979935017912,Jaén,Salamanca
23,16,0.0014419102426895152,Jaén,Cuenca
23,02,0.01265035919586268,Jaén,Albacete
23,48,0.00021148016892779555,Jaén,Bizkaia
23,33,0.0004678197676281538,Jaén,Asturias
23,09,0.0005190876873682255,Jaén,Burgos
23,19,0.0016726158815198375,Jaén,Guadalajara
23,01,0.00023711412879783136,Jaén,Araba/Álava
23,42,0.00017943771909025076,Jaén,Soria
23,25,0.0003652839281480105,Jaén,Lleida
23,27,3.845093980505373e-05,Jaén,Lugo
23,52,0.0001730292291227418,Jaén,Melilla
23,36,0.0001602122491877239,Jaén,Pontevedra
23,30,0.010727812205609992,Jaén,Murcia
23,41,0.018206519997692943,Jaén,Sevilla
23,40,0.00018584620905775972,Jaén,Segovia
23,50,0.0006280320168158777,Jaén,Zaragoza
23,03,0.009401254782335638,Jaén,Alicante/Alacant
23,06,0.0014034593028844613,Jaén,Badajoz
23,31,0.0010638093346064868,Jaén,Navarra
23,21,0.0018776875604801242,Jaén,Huelva
23,44,0.0002499311087328493,Jaén,Teruel
23,34,4.485942977256269e-05,Jaén,Palencia
23,26,0.0005319046673032434,Jaén,La Rioja
23,24,0.00017943771909025076,Jaén,León
23,43,0.0016021224918772391,Jaén,Tarragona
23,35,0.00021148016892779555,Jaén,Las Palmas
23,32,7.690187961010748e-05,Jaén,Ourense
23,22,0.00031401600840793887,Jaén,Huesca
23,05,0.000147395269252706,Jaén,Ávila
26,44,0.001191979133956666,La Rioja,Teruel
26,08,0.00681222483546202,La Rioja,Barcelona
26,48,0.018052716238472728,La Rioja,Bizkaia
26,20,0.012265849797812142,La Rioja,Gipuzkoa
26,03,0.0009804989650288704,La Rioja,Alicante/Alacant
26,43,0.0010830348045090137,La Rioja,Tarragona
26,36,0.0003460584582454836,La Rioja,Pontevedra
26,25,0.0014226847727869883,La Rioja,Lleida
26,18,0.00021148016892779555,La Rioja,Granada
26,23,9.612734951263434e-05,La Rioja,Jaén
