Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI,z_newCases
2020-04-05,33,Asturias,55,6,16,1,-0.3613969232775401
2020-04-05,34,Palencia,26,6,11,0,-0.30743615787347733
2020-04-05,35,Las Palmas,12,1,5,0,-0.40131388082640523
2020-04-05,36,Pontevedra,39,8,9,2,-0.3906559499659748
2020-04-05,37,Salamanca,37,19,20,0,-0.32378037859704034
2020-04-05,38,Santa Cruz de Tenerife,35,1,14,3,-0.32164208575401704
2020-04-05,39,Cantabria,27,9,12,2,-0.3743526435209021
2020-04-05,40,Segovia,71,7,10,3,0.18347674925697455
2020-04-05,41,Sevilla,29,10,17,3,-0.6416439239029013
2020-04-05,42,Soria,17,5,6,1,-0.21950905698809217
2020-04-05,43,Tarragona,44,4,13,1,-0.37740702994455266
2020-04-05,44,Teruel,10,3,4,0,-0.38658888135490616
2020-04-05,45,Toledo,64,21,45,3,-0.40296393430355765
2020-04-05,46,Valencia/València,86,22,42,6,-0.39710606388140346
2020-04-05,47,Valladolid,86,12,23,2,-0.28029049707806847
2020-04-05,48,Bizkaia,100,31,40,2,-0.3547938217220766
2020-04-05,49,Zamora,5,0,3,1,-0.44404267631478556
2020-04-05,50,Zaragoza,72,20,40,7,-0.36788808099619164
2020-04-05,51,Ceuta,1,1,0,0,-0.3905582705505784
2020-04-06,0,No consta,89,5,25,2,0.6558265420533019
2020-04-06,1,Araba/Álava,34,14,7,1,-0.33668941005093733
2020-04-06,2,Albacete,171,11,57,1,0.29928209496689157
2020-04-06,3,Alicante/Alacant,61,6,32,7,-0.3897444102148435
2020-04-06,4,Almería,15,2,5,0,-0.5325176902949522
2020-04-06,5,Ávila,61,6,21,0,0.1171472500623125
2020-04-06,6,Badajoz,25,6,13,1,-0.42210379791324587
2020-04-06,7,Balears,58,2,27,3,-0.3918422155772819
2020-04-06,8,Barcelona,931,138,399,25,-0.26608276190510616
2020-04-06,9,Burgos,48,6,17,0,-0.30332635089623966
2020-04-06,10,Cáceres,29,12,21,2,-0.34644686691730325
2020-04-06,11,Cádiz,18,6,6,0,-0.590861179812056
2020-04-06,12,Castellón/Castelló,18,7,13,2,-0.3691298395206699
2020-04-06,13,Ciudad Real,199,29,90,2,0.23248044987994498
2020-04-06,14,Córdoba,28,2,10,1,-0.4968281151093054
2020-04-06,15,A Coruña,133,9,26,3,-0.24232102952345333
2020-04-06,16,Cuenca,77,13,37,1,0.1215819561171438
2020-04-06,17,Girona,128,14,15,1,-0.2661773465381921
2020-04-06,18,Granada,32,6,25,6,-0.555283666059018
2020-04-06,19,Guadalajara,21,3,17,2,-0.3736760612046488
2020-04-06,20,Gipuzkoa,33,9,25,1,-0.429825143079294
2020-04-06,21,Huelva,5,1,3,0,-0.6056323750801796
2020-04-06,22,Huesca,14,6,8,0,-0.40008294276851614
2020-04-06,23,Jaén,16,5,11,0,-0.5737739158331177
2020-04-06,24,León,85,8,32,1,-0.18047320809861928
2020-04-06,25,Lleida,29,5,10,1,-0.4364293834372531
2020-04-06,26,La Rioja,102,14,25,3,-0.04803621523928015
2020-04-06,27,Lugo,13,1,4,1,-0.3810201184601825
2020-04-06,28,Madrid,1588,192,701,49,-0.1263025821744299
2020-04-06,29,Málaga,46,9,24,1,-0.5784477052328173
2020-04-06,30,Murcia,34,5,14,2,-0.4025535770116132
2020-04-06,31,Navarra,97,16,61,2,-0.301651148933967
2020-04-06,32,Ourense,46,2,27,0,-0.20181138475779195
2020-04-06,33,Asturias,22,8,24,2,-0.4240253742277511
2020-04-06,34,Palencia,23,2,5,0,-0.3327136940590368
2020-04-06,35,Las Palmas,9,1,4,0,-0.4082847694524727
2020-04-06,36,Pontevedra,61,4,15,2,-0.3485932802929903
2020-04-06,37,Salamanca,112,12,16,1,0.03154863544524742
2020-04-06,38,Santa Cruz de Tenerife,28,2,15,0,-0.3376288852392613
2020-04-06,39,Cantabria,32,8,17,1,-0.3601481125230827
